model,template,entity,precision,recall,f1,f1_r
chatgpt,ext_exp,event triggers,0.4280701754385965,0.25206611570247933,0.31729518855656696,0.5956671673993321
chatgpt,ext,event triggers,0.45652173913043476,0.2603305785123967,0.3315789473684211,0.6053562085306952
chatgpt,cls,event triggers,0.43351063829787234,0.3367768595041322,0.37906976744186044,0.6174494820571274
chatgpt,cls_exp,event triggers,0.48857142857142855,0.35330578512396693,0.4100719424460431,0.6406225606841532
chatgpt,ext_def_exp,event triggers,0.5830618892508144,0.36983471074380164,0.45259165613147917,0.7550659331653997
chatgpt,cls_def,event triggers,0.6012658227848101,0.3925619834710744,0.475,0.784746326555199
chatgpt,ext_def,event triggers,0.6129032258064516,0.3925619834710744,0.47858942065491183,0.782262634067983
chatgpt,cls_def_exp,event triggers,0.6274509803921569,0.39669421487603307,0.4860759493670886,0.7977303877010249
chatgpt,ext,participants,0.27044025157232704,0.07789855072463768,0.12095639943741208,0.610203931921358
chatgpt,ext_def,participants,0.24630541871921183,0.09057971014492754,0.13245033112582782,0.6543221896107234
chatgpt,ext_exp,participants,0.2857142857142857,0.09057971014492754,0.1375515818431912,0.5967202230080612
chatgpt,ext_def_exp,participants,0.2560386473429952,0.09601449275362318,0.1396574440052701,0.6595955054152892
chatgpt,cls_exp,participants,0.26881720430107525,0.1358695652173913,0.18050541516245486,0.6120272526878036
chatgpt,cls_def_exp,participants,0.27181208053691275,0.14673913043478262,0.19058823529411767,0.6059576502944062
chatgpt,cls,participants,0.2807017543859649,0.14492753623188406,0.1911589008363202,0.6285364611079204
chatgpt,cls_def,participants,0.27899686520376177,0.161231884057971,0.20436280137772675,0.5979302012259848
chatgpt,cls_exp,time expressions,0.25,0.5652173913043478,0.3466666666666667,0.4990921485921486
chatgpt,cls_def_exp,time expressions,0.2755102040816326,0.5869565217391305,0.375,0.5114889739889741
chatgpt,cls,time expressions,0.2871287128712871,0.6304347826086957,0.3945578231292517,0.5090127835127836
chatgpt,ext_exp,time expressions,0.4117647058823529,0.45652173913043476,0.4329896907216495,0.6491477041477042
chatgpt,cls_def,time expressions,0.35135135135135137,0.5652173913043478,0.43333333333333335,0.5320192770192771
chatgpt,ext_def_exp,time expressions,0.3880597014925373,0.5652173913043478,0.46017699115044247,0.6203699263699264
chatgpt,ext_def,time expressions,0.3880597014925373,0.5652173913043478,0.46017699115044247,0.6203699263699264
chatgpt,ext,time expressions,0.4339622641509434,0.5,0.46464646464646464,0.6414492914492914
falcon-7b,cls_exp,event triggers,0.0,0.0,0.0,0.0
falcon-7b,cls_def,event triggers,0.0,0.0,0.0,0.0
falcon-7b,cls,event triggers,0.0,0.0,0.0,0.0
falcon-7b,ext,event triggers,0.0,0.0,0.0,0.09168754266363029
falcon-7b,cls_def_exp,event triggers,0.0,0.0,0.0,0.0
falcon-7b,ext_def_exp,event triggers,0.0,0.0,0.0,0.0
falcon-7b,ext_def,event triggers,0.0,0.0,0.0,0.0
falcon-7b,ext_exp,event triggers,0.0,0.0,0.0,0.09168754266363029
falcon-7b,cls_exp,participants,0.0,0.0,0.0,0.0
falcon-7b,cls_def,participants,0.0,0.0,0.0,0.0
falcon-7b,cls,participants,0.0,0.0,0.0,0.0
falcon-7b,ext,participants,0.0,0.0,0.0,0.052971974250006285
falcon-7b,cls_def_exp,participants,0.0,0.0,0.0,0.0
falcon-7b,ext_def_exp,participants,0.0,0.0,0.0,0.12182525125084731
falcon-7b,ext_def,participants,0.0,0.0,0.0,0.12182525125084731
falcon-7b,ext_exp,participants,0.0,0.0,0.0,0.052971974250006285
falcon-7b,cls_exp,time expressions,0.0,0.0,0.0,0.0
falcon-7b,cls_def,time expressions,0.0,0.0,0.0,0.0
falcon-7b,cls,time expressions,0.0,0.0,0.0,0.0
falcon-7b,ext,time expressions,0.0,0.0,0.0,0.026941734735852384
falcon-7b,cls_def_exp,time expressions,0.0,0.0,0.0,0.0
gpt3,ext,event triggers,0.051470588235294115,0.014462809917355372,0.022580645161290325,0.4016598151683476
gpt3,ext_def,event triggers,0.05660377358490566,0.01859504132231405,0.027993779160186624,0.4384221215461247
gpt3,ext_def_exp,event triggers,0.06134969325153374,0.02066115702479339,0.030911901081916545,0.43557173234124635
gpt3,ext_exp,event triggers,0.07246376811594203,0.02066115702479339,0.03215434083601286,0.3904288601283755
gpt3,cls,event triggers,0.2870967741935484,0.18388429752066116,0.22418136020151133,0.4414312398521896
gpt3,cls_exp,event triggers,0.2964169381107492,0.18801652892561985,0.23008849557522126,0.4487732934310319
gpt3,cls_def,event triggers,0.32044198895027626,0.2396694214876033,0.27423167848699764,0.4454472036505156
gpt3,cls_def_exp,event triggers,0.32132963988919666,0.2396694214876033,0.27455621301775146,0.44748947353033186
gpt3,ext_def_exp,participants,0.26991150442477874,0.1105072463768116,0.15681233933161956,0.6735822015266982
gpt3,ext_def,participants,0.27232142857142855,0.1105072463768116,0.15721649484536082,0.6689253853490487
gpt3,ext_exp,participants,0.29767441860465116,0.11594202898550725,0.166883963494133,0.6714363738282104
gpt3,ext,participants,0.3037383177570093,0.11775362318840579,0.16971279373368148,0.6679953307443102
gpt3,cls_def,participants,0.2976190476190476,0.1358695652173913,0.18656716417910446,0.6026817104910538
gpt3,cls_def_exp,participants,0.30434782608695654,0.13949275362318841,0.191304347826087,0.6089650138124939
gpt3,cls_exp,participants,0.3107569721115538,0.14130434782608695,0.19427148194271482,0.60587815807379
gpt3,cls,participants,0.3132530120481928,0.14130434782608695,0.1947565543071161,0.6140390356726928
gpt3,cls_def_exp,time expressions,0.24107142857142858,0.5869565217391305,0.34177215189873417,0.4130968892218892
gpt3,cls,time expressions,0.30666666666666664,0.5,0.3801652892561983,0.5202107383357383
gpt3,cls_def,time expressions,0.29292929292929293,0.6304347826086957,0.4,0.42675706238206246
gpt3,cls_exp,time expressions,0.32051282051282054,0.5434782608695652,0.40322580645161293,0.517419733044733
gpt3,ext_def_exp,time expressions,0.3870967741935484,0.5217391304347826,0.4444444444444444,0.5505447330447331
gpt3,ext_def,time expressions,0.3787878787878788,0.5434782608695652,0.44642857142857145,0.519433621933622
gpt3,ext,time expressions,0.46511627906976744,0.43478260869565216,0.449438202247191,0.7523809523809524
gpt3,ext_exp,time expressions,0.4666666666666667,0.45652173913043476,0.46153846153846156,0.7357142857142858
gpt4,ext_def_exp,event triggers,0.07531380753138076,0.0371900826446281,0.04979253112033195,0.468315031624178
